,Confusion Matrix,Classification Report
grid_search_logistic_regression.pkl,"[[11370  3741]
 [ 3378  5389]]","{'0': {'precision': 0.7709519934906428, 'recall': 0.752432003176494, 'f1-score': 0.7615794232894605, 'support': 15111.0}, '1': {'precision': 0.5902519167579409, 'recall': 0.6146914565986085, 'f1-score': 0.6022238363971615, 'support': 8767.0}, 'accuracy': 0.7018594522154284, 'macro avg': {'precision': 0.6806019551242919, 'recall': 0.6835617298875512, 'f1-score': 0.6819016298433109, 'support': 23878.0}, 'weighted avg': {'precision': 0.7046065050613105, 'recall': 0.7018594522154284, 'f1-score': 0.7030707362015644, 'support': 23878.0}}"
logistic_regression.pkl,"[[11370  3741]
 [ 3378  5389]]","{'0': {'precision': 0.7709519934906428, 'recall': 0.752432003176494, 'f1-score': 0.7615794232894605, 'support': 15111.0}, '1': {'precision': 0.5902519167579409, 'recall': 0.6146914565986085, 'f1-score': 0.6022238363971615, 'support': 8767.0}, 'accuracy': 0.7018594522154284, 'macro avg': {'precision': 0.6806019551242919, 'recall': 0.6835617298875512, 'f1-score': 0.6819016298433109, 'support': 23878.0}, 'weighted avg': {'precision': 0.7046065050613105, 'recall': 0.7018594522154284, 'f1-score': 0.7030707362015644, 'support': 23878.0}}"
random_forest.pkl,"[[9869 5242]
 [3899 4868]]","{'0': {'precision': 0.7168070889018012, 'recall': 0.6531003904440473, 'f1-score': 0.6834724194051041, 'support': 15111.0}, '1': {'precision': 0.4815034619188922, 'recall': 0.5552640584008213, 'f1-score': 0.5157599194787307, 'support': 8767.0}, 'accuracy': 0.6171789932155122, 'macro avg': {'precision': 0.5991552754103467, 'recall': 0.6041822244224343, 'f1-score': 0.5996161694419173, 'support': 23878.0}, 'weighted avg': {'precision': 0.6304134672517818, 'recall': 0.6171789932155122, 'f1-score': 0.6218954243948639, 'support': 23878.0}}"
random_search_logistic_regression.pkl,"[[11370  3741]
 [ 3378  5389]]","{'0': {'precision': 0.7709519934906428, 'recall': 0.752432003176494, 'f1-score': 0.7615794232894605, 'support': 15111.0}, '1': {'precision': 0.5902519167579409, 'recall': 0.6146914565986085, 'f1-score': 0.6022238363971615, 'support': 8767.0}, 'accuracy': 0.7018594522154284, 'macro avg': {'precision': 0.6806019551242919, 'recall': 0.6835617298875512, 'f1-score': 0.6819016298433109, 'support': 23878.0}, 'weighted avg': {'precision': 0.7046065050613105, 'recall': 0.7018594522154284, 'f1-score': 0.7030707362015644, 'support': 23878.0}}"
random_search_random_forest.pkl,"[[10861  4250]
 [ 3159  5608]]","{'0': {'precision': 0.774679029957204, 'recall': 0.718747931970088, 'f1-score': 0.7456661288661564, 'support': 15111.0}, '1': {'precision': 0.5688780685737472, 'recall': 0.6396714953804038, 'f1-score': 0.6022013422818792, 'support': 8767.0}, 'accuracy': 0.6897143814389814, 'macro avg': {'precision': 0.6717785492654755, 'recall': 0.679209713675246, 'f1-score': 0.6739337355740178, 'support': 23878.0}, 'weighted avg': {'precision': 0.6991175495799209, 'recall': 0.6897143814389814, 'f1-score': 0.6929918770869304, 'support': 23878.0}}"
xgboost.pkl,"[[10861  4250]
 [ 3110  5657]]","{'0': {'precision': 0.7773960346431895, 'recall': 0.718747931970088, 'f1-score': 0.746922495014098, 'support': 15111.0}, '1': {'precision': 0.5710103966892096, 'recall': 0.6452606364777005, 'f1-score': 0.6058691228445968, 'support': 8767.0}, 'accuracy': 0.691766479604657, 'macro avg': {'precision': 0.6742032156661996, 'recall': 0.6820042842238943, 'f1-score': 0.6763958089293474, 'support': 23878.0}, 'weighted avg': {'precision': 0.7016198855543821, 'recall': 0.691766479604657, 'f1-score': 0.6951336134574343, 'support': 23878.0}}"
